text,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,date,frameRate,expName,session,participant,
Instructions 1!,0,0,0,0,2014_Sep_14_2100,49.9941245112,Arguments,001,999,
Instructions 2!,0,1,1,1,2014_Sep_14_2100,49.9941245112,Arguments,001,999,
