10.7088 	EXP 	ImageStim: autoDraw = None
10.7088 	EXP 	Set text_image image=words\clear_clear.jpg
10.7088 	EXP 	ImageStim: autoDraw = None
11.6968 	EXP 	New trial (rep=0, index=4): {'words': u'"words\\clear_argument.jpg"'}
11.7158 	EXP 	ImageStim: autoDraw = None
11.7158 	EXP 	Set text_image image=words\clear_argument.jpg
11.7158 	EXP 	ImageStim: autoDraw = None
12.6844 	EXP 	Imported questions.csv as conditions, 5 conditions, 1 params
12.6859 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
12.6879 	EXP 	New trial (rep=0, index=0): {'question': u'"This argument might be wrong but it was well argued nonetheless."'}
12.7426 	EXP 	ImageStim: autoDraw = None
12.7426 	EXP 	ImageStim: autoDraw = None
12.7426 	EXP 	Set question_text text="This argument might be wrong but it was well argued nonetheless."
13.2260 	EXP 	TextStim: autoDraw = None
17.3758 	DATA 	Keypress: 8
17.4000 	EXP 	New trial (rep=0, index=1): {'question': u'"This was a well formed argument."'}
17.4546 	EXP 	TextStim: autoDraw = None
17.4546 	EXP 	Set question_text text="This was a well formed argument."
17.9380 	EXP 	TextStim: autoDraw = None
19.2072 	DATA 	Keypress: 8
19.2095 	EXP 	New trial (rep=0, index=2): {'question': u'"This argument was unconvincing."'}
19.2469 	EXP 	TextStim: autoDraw = None
19.2469 	EXP 	Set question_text text="This argument was unconvincing."
19.7300 	EXP 	TextStim: autoDraw = None
20.0728 	DATA 	Keypress: 8
20.0751 	EXP 	New trial (rep=0, index=3): {'question': u'"There were logical flaws in this argument."'}
20.1127 	EXP 	TextStim: autoDraw = None
20.1127 	EXP 	Set question_text text="There were logical flaws in this argument."
20.5962 	EXP 	TextStim: autoDraw = None
20.6770 	DATA 	Keypress: 8
20.6793 	EXP 	New trial (rep=0, index=4): {'question': u'"This argument was convincing."'}
20.7167 	EXP 	TextStim: autoDraw = None
20.7167 	EXP 	Set question_text text="This argument was convincing."
21.2000 	EXP 	TextStim: autoDraw = None
21.2608 	DATA 	Keypress: 8
21.2806 	EXP 	TextStim: autoDraw = None
21.2806 	EXP 	TextStim: autoDraw = None
27.0604 	DATA 	Keypress: space
27.0617 	EXP 	New trial (rep=0, index=1): {'argument': u'"messy_01.csv"'}
27.0635 	EXP 	Imported messy_01.csv as conditions, 5 conditions, 1 params
27.0648 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
27.0667 	EXP 	New trial (rep=0, index=0): {'words': u'"words\\messy_this.jpg"'}
27.0997 	EXP 	TextStim: autoDraw = None
27.0997 	EXP 	Set text_image image=words\messy_this.jpg
27.0997 	EXP 	ImageStim: autoDraw = None
28.0678 	EXP 	New trial (rep=0, index=1): {'words': u'"words\\messy_is.jpg"'}
28.0867 	EXP 	ImageStim: autoDraw = None
28.0867 	EXP 	ImageStim: autoDraw = None
28.0867 	EXP 	Set text_image image=words\messy_is.jpg
28.0867 	EXP 	ImageStim: autoDraw = None
28.4296 	DATA 	Keypress: escape
