0.7707 	WARNING 	Movie2 stim could not be imported and won't be available
3.5473 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x03968EE0>, name='window1', pos=[0, 0], screen=0, size=array([1366,  768]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.5473 	EXP 	window1: recordFrameIntervals = False
3.7473 	EXP 	window1: recordFrameIntervals = True
3.8986 	WARNING 	t of last frame was 31.24ms (=1/32)
4.2102 	EXP 	window1: recordFrameIntervals = False
4.3194 	EXP 	Created intro_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.3]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.3323 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Press SPACE to continue!', units=u'norm', win=Window(...), wrapWidth=1)
4.3378 	EXP 	Created intro_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([ 0. ,  0.3]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.3449 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([ 255.,  255.,  255.]), text=u'Press SPACE to continue!', units=u'norm', win=Window(...), wrapWidth=1)
4.3657 	EXP 	Created ending = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='ending', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.3708 	EXP 	Imported instructions-p1.xlsx as conditions, 4 conditions, 1 params
4.3711 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
4.3716 	EXP 	New trial (rep=0, index=0): {u'text': u"Welcome to the study! This lab has been developing a new machine learning algorithm, but we need humans to help confirm that the algorithm's data is correct. Your responses will be used to help us improve our algorithm."}
4.4266 	EXP 	intro_text: text = u"Welcome to the study! This lab has been developing a new machine learning algorithm, but we need humans to help confirm that the algorithm's data is correct. Your responses will be used to help us improve our algorithm."
4.4266 	EXP 	intro_text: autoDraw = True
4.4266 	EXP 	text_2: autoDraw = True
5.2570 	DATA 	Keypress: space
5.2577 	EXP 	New trial (rep=0, index=1): {u'text': u'You will be reading sentences and responding to them. A sentence with an underlined word will appear on the screen. When that happens, please fully comprehend the sentence as you read it out loud. After six seconds, the sentence will disappear and a short phrase will appear on the screen. Your job is simply to tell us whether the phrase can be a property of the underlined word.'}
5.3455 	EXP 	intro_text: autoDraw = False
5.3455 	EXP 	text_2: autoDraw = False
5.3455 	EXP 	intro_text: text = u'You will be reading sentences and responding to them. A sentence with an underlined word will appear on the screen. When that happens, please fully comprehend the sentence as you read it out loud. After six seconds, the sentence will disappear and a short phrase will appear on the screen. Your job is simply to tell us whether the phrase can be a property of the underlined word.'
5.3455 	EXP 	intro_text: autoDraw = True
5.3455 	EXP 	text_2: autoDraw = True
5.8419 	DATA 	Keypress: space
5.8426 	EXP 	New trial (rep=0, index=2): {u'text': u"If the phrase can be a property of the underlined word, press the green key. And if the phrase can't be a property of the underlined word, press the red key. Please respond as quickly as possible,but avoid making errors."}
5.8969 	EXP 	intro_text: autoDraw = False
5.8969 	EXP 	text_2: autoDraw = False
5.8969 	EXP 	intro_text: text = u"If the phrase can be a property of the underlined word, press the green key. And if the phrase can't be a property of the underlined word, press the red key. Please respond as quickly as possible,but avoid making errors."
5.8969 	EXP 	intro_text: autoDraw = True
5.8969 	EXP 	text_2: autoDraw = True
6.2866 	DATA 	Keypress: space
6.2872 	EXP 	New trial (rep=0, index=3): {u'text': u"After this slide you'll begin a practice session. If you make any mistakes an experimenter will be standing by to correct you. Just remember to read all the sentences (but not the phrases) out loud. In order to move between trials in the experiment, press the space bar. When you're ready to begin, please turn around and tell the experimenter."}
6.3568 	EXP 	intro_text: autoDraw = False
6.3568 	EXP 	text_2: autoDraw = False
6.3568 	EXP 	intro_text: text = u"After this slide you'll begin a practice session. If you make any mistakes an experimenter will be standing by to correct you. Just remember to read all the sentences (but not the phrases) out loud. In order to move between trials in the experiment, press the space bar. When you're ready to begin, please turn around and tell the experimenter."
6.3568 	EXP 	intro_text: autoDraw = True
6.3568 	EXP 	text_2: autoDraw = True
6.6891 	DATA 	Keypress: space
6.6986 	EXP 	Imported stim-prac.xlsx as conditions, 4 conditions, 3 params
6.6999 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
6.7017 	EXP 	New trial (rep=0, index=0): {u'property': u'can contain money', u'response': u'j', u'sentence': u'The bank was robbed by three bandits.'}
6.7025 	EXP 	New trial (rep=0, index=1): {u'property': u'has a smell', u'response': u'j', u'sentence': u'The skunk was under a large willow.'}
6.7030 	EXP 	New trial (rep=0, index=2): {u'property': u'has gills', u'response': u'f', u'sentence': u'The cheese was growing moldy in the refrigerator.'}
6.7034 	EXP 	New trial (rep=0, index=3): {u'property': u'can be tied in a knot', u'response': u'f', u'sentence': u'The refrigerator was set to a low temperature to cool the beer.'}
6.7068 	EXP 	Imported instructions-p2.xlsx as conditions, 1 conditions, 1 params
6.7071 	EXP 	Created sequence: sequential, trialTypes=1, nReps=1, seed=None
6.7076 	EXP 	New trial (rep=0, index=0): {u'text': u'That was the practice session. The following session will have exactly the same format, except that you will not be given feedback about whether your answers were correct. When you are ready to begin or have any questions, please turn around and inform the experimenter.'}
6.7571 	EXP 	intro_text: autoDraw = False
6.7571 	EXP 	text_2: autoDraw = False
6.7571 	EXP 	intro_text: text = u'That was the practice session. The following session will have exactly the same format, except that you will not be given feedback about whether your answers were correct. When you are ready to begin or have any questions, please turn around and inform the experimenter.'
6.7571 	EXP 	intro_text: autoDraw = True
6.7571 	EXP 	text_2: autoDraw = True
7.3113 	DATA 	Keypress: space
7.3151 	EXP 	Imported stim-test.xlsx as conditions, 4 conditions, 2 params
7.3155 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
7.3161 	EXP 	New trial (rep=0, index=0): {u'property': u'can be tied in a knot', u'sentence': u'The refrigerator was set to a low temperature to cool the beer.'}
7.3165 	EXP 	New trial (rep=0, index=1): {u'property': u'can contain money', u'sentence': u'The bank was robbed by three bandits.'}
7.3168 	EXP 	New trial (rep=0, index=2): {u'property': u'has gills', u'sentence': u'The cheese was growing moldy in the refrigerator.'}
7.3171 	EXP 	New trial (rep=0, index=3): {u'property': u'has a smell', u'sentence': u'The skunk was under a large willow.'}
7.3311 	EXP 	intro_text: autoDraw = False
7.3311 	EXP 	text_2: autoDraw = False
7.3311 	EXP 	ending: autoDraw = True
8.4201 	DATA 	Keypress: space
10.4331 	DATA 	Keypress: escape
