text,image,pos,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,date,frameRate,expName,session,participant,
"We are piloting a new method for group-grading exam questions. In this first section you will be reading aloud several arguments taken from LAW 204, Written and Oral Advocacy, taught at the UC Berkeley Law School.",nothing.jpg,"[20, 20]",0,0,0,0,2014_Oct_10_1146,60.0101103764,Arguments,001,654,
"You will read through student responses taken from the essay portion of the midterm exam. In order to give an objective analysis, you will be asked to read the essay responses aloud. In addition, sentences from each essay response will be presented phrase-by-phrase, not all at once.",nothing.jpg,"[20, 20]",0,1,1,1,2014_Oct_10_1146,60.0101103764,Arguments,001,654,
"Handwriting has been cropped and digitized into snippets like the one below, each of which contain individual phrases:",words\example.jpg,"[0, 0]",0,2,2,2,2014_Oct_10_1146,60.0101103764,Arguments,001,654,
These snippets of text will appear on the screen for only one second each. When each phrase appears please read it out loud.,nothing.jpg,"[20, 20]",0,3,3,3,2014_Oct_10_1146,60.0101103764,Arguments,001,654,
"After you have read through each argument, you will be asked several questions about the complete argument. Please try to answer these questions as objectively as possible, as if you were a teaching assistant grading this exam.",nothing.jpg,"[20, 20]",0,4,4,4,2014_Oct_10_1146,60.0101103764,Arguments,001,654,
"After this slide you'll begin a practice session in order to familiarize yourself with how to evaluate these arguments. An experimenter will stand by to correct you if you make any mistakes. If you have any questions, please ask the experimenter now.",nothing.jpg,"[20, 20]",0,5,5,5,2014_Oct_10_1146,60.0101103764,Arguments,001,654,
