11.1141 	EXP 	Instructions: text = u'Handwriting has been cropped and digitized into snippets like the one below, each of which contain individual phrases:'
11.1141 	EXP 	Instr_Pic: pos = array([ 0.,  0.])
11.1141 	EXP 	Instr_Pic: image = u'words\\example.jpg'
11.1141 	EXP 	Instructions: autoDraw = True
11.1141 	EXP 	Space_Continue: autoDraw = True
11.1141 	EXP 	Instr_Pic: autoDraw = True
12.1017 	DATA 	Keypress: space
12.1029 	EXP 	New trial (rep=0, index=3): {u'text': u'These snippets of text will appear on the screen for only one second each. When each phrase appears please read it out loud.', u'image': u'nothing.jpg', u'pos': [20, 20]}
12.1614 	ERROR 	Only 2D textures are supported at the moment
12.1702 	EXP 	Instructions: autoDraw = False
12.1702 	EXP 	Space_Continue: autoDraw = False
12.1702 	EXP 	Instr_Pic: autoDraw = False
12.1702 	EXP 	Instructions: text = u'These snippets of text will appear on the screen for only one second each. When each phrase appears please read it out loud.'
12.1702 	EXP 	Instr_Pic: pos = array([ 20.,  20.])
12.1702 	EXP 	Instr_Pic: image = u'nothing.jpg'
12.1702 	EXP 	Instructions: autoDraw = True
12.1702 	EXP 	Space_Continue: autoDraw = True
12.1702 	EXP 	Instr_Pic: autoDraw = True
12.6595 	DATA 	Keypress: space
12.6600 	EXP 	New trial (rep=0, index=4): {u'text': u'After you have read through each argument, you will be asked several questions about the complete argument. Please try to answer these questions as objectively as possible, as if you were a teaching assistant grading this exam.', u'image': u'nothing.jpg', u'pos': [20, 20]}
12.6954 	ERROR 	Only 2D textures are supported at the moment
12.7041 	EXP 	Instructions: autoDraw = False
12.7041 	EXP 	Space_Continue: autoDraw = False
12.7041 	EXP 	Instr_Pic: autoDraw = False
12.7041 	EXP 	Instructions: text = u'After you have read through each argument, you will be asked several questions about the complete argument. Please try to answer these questions as objectively as possible, as if you were a teaching assistant grading this exam.'
12.7041 	EXP 	Instr_Pic: pos = array([ 20.,  20.])
12.7041 	EXP 	Instr_Pic: image = u'nothing.jpg'
12.7041 	EXP 	Instructions: autoDraw = True
12.7041 	EXP 	Space_Continue: autoDraw = True
12.7041 	EXP 	Instr_Pic: autoDraw = True
13.2447 	DATA 	Keypress: space
13.2460 	EXP 	New trial (rep=0, index=5): {u'text': u"After this slide you'll begin a practice session in order to familiarize yourself with how to evaluate these arguments. An experimenter will stand by to correct you if you make any mistakes. If you have any questions, please ask the experimenter now.", u'image': u'nothing.jpg', u'pos': [20, 20]}
13.3206 	ERROR 	Only 2D textures are supported at the moment
13.3282 	EXP 	Instructions: autoDraw = False
13.3282 	EXP 	Space_Continue: autoDraw = False
13.3282 	EXP 	Instr_Pic: autoDraw = False
13.3282 	EXP 	Instructions: text = u"After this slide you'll begin a practice session in order to familiarize yourself with how to evaluate these arguments. An experimenter will stand by to correct you if you make any mistakes. If you have any questions, please ask the experimenter now."
13.3282 	EXP 	Instr_Pic: pos = array([ 20.,  20.])
13.3282 	EXP 	Instr_Pic: image = u'nothing.jpg'
13.3282 	EXP 	Instructions: autoDraw = True
13.3282 	EXP 	Space_Continue: autoDraw = True
13.3282 	EXP 	Instr_Pic: autoDraw = True
13.6504 	DATA 	Keypress: space
13.6888 	EXP 	Instructions: autoDraw = False
13.6888 	EXP 	Space_Continue: autoDraw = False
13.6888 	EXP 	Instr_Pic: autoDraw = False
13.6888 	EXP 	text_2: autoDraw = True
15.1594 	EXP 	Imported arguments.csv as conditions, 3 conditions, 1 params
15.1612 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
15.1629 	EXP 	New trial (rep=0, index=0): {'argument': u'"arg2clean.csv"'}
15.1666 	EXP 	Imported arg2clean.csv as conditions, 49 conditions, 1 params
15.1694 	EXP 	Created sequence: sequential, trialTypes=49, nReps=1, seed=None
15.1711 	EXP 	New trial (rep=0, index=0): {'words': u'"words\\arg2clean\\1.png"'}
15.1855 	EXP 	text_2: autoDraw = False
15.1855 	EXP 	text_2: autoDraw = False
15.1855 	EXP 	text_image: image = u'words\\arg2clean\\1.png'
15.1855 	EXP 	text_image: autoDraw = True
16.1669 	EXP 	New trial (rep=0, index=1): {'words': u'"words\\arg2clean\\2.png"'}
16.1842 	EXP 	text_image: autoDraw = False
16.1842 	EXP 	text_image: autoDraw = False
16.1842 	EXP 	text_image: image = u'words\\arg2clean\\2.png'
16.1842 	EXP 	text_image: autoDraw = True
17.1738 	EXP 	New trial (rep=0, index=2): {'words': u'"words\\arg2clean\\3.png"'}
17.1950 	EXP 	text_image: autoDraw = False
17.1950 	EXP 	text_image: image = u'words\\arg2clean\\3.png'
17.1950 	EXP 	text_image: autoDraw = True
18.1800 	EXP 	New trial (rep=0, index=3): {'words': u'"words\\arg2clean\\4.png"'}
18.1980 	EXP 	text_image: autoDraw = False
18.1980 	EXP 	text_image: image = u'words\\arg2clean\\4.png'
18.1980 	EXP 	text_image: autoDraw = True
19.1856 	EXP 	New trial (rep=0, index=4): {'words': u'"words\\arg2clean\\5.png"'}
19.2067 	EXP 	text_image: autoDraw = False
19.2067 	EXP 	text_image: image = u'words\\arg2clean\\5.png'
19.2067 	EXP 	text_image: autoDraw = True
20.1722 	EXP 	New trial (rep=0, index=5): {'words': u'"words\\arg2clean\\6.png"'}
20.1913 	EXP 	text_image: autoDraw = False
20.1913 	EXP 	text_image: autoDraw = False
20.1913 	EXP 	text_image: image = u'words\\arg2clean\\6.png'
20.1913 	EXP 	text_image: autoDraw = True
21.1593 	EXP 	New trial (rep=0, index=6): {'words': u'"words\\arg2clean\\7.png"'}
21.1783 	EXP 	text_image: autoDraw = False
21.1783 	EXP 	text_image: autoDraw = False
21.1783 	EXP 	text_image: image = u'words\\arg2clean\\7.png'
21.1783 	EXP 	text_image: autoDraw = True
22.1461 	EXP 	New trial (rep=0, index=7): {'words': u'"words\\arg2clean\\8.png"'}
22.1650 	EXP 	text_image: autoDraw = False
22.1650 	EXP 	text_image: autoDraw = False
22.1650 	EXP 	text_image: image = u'words\\arg2clean\\8.png'
22.1650 	EXP 	text_image: autoDraw = True
23.1327 	EXP 	New trial (rep=0, index=8): {'words': u'"words\\arg2clean\\9.png"'}
23.1516 	EXP 	text_image: autoDraw = False
23.1516 	EXP 	text_image: autoDraw = False
23.1516 	EXP 	text_image: image = u'words\\arg2clean\\9.png'
23.1516 	EXP 	text_image: autoDraw = True
24.1194 	EXP 	New trial (rep=0, index=9): {'words': u'"words\\arg2clean\\10.png"'}
24.1384 	EXP 	text_image: autoDraw = False
24.1384 	EXP 	text_image: autoDraw = False
24.1384 	EXP 	text_image: image = u'words\\arg2clean\\10.png'
24.1384 	EXP 	text_image: autoDraw = True
25.1060 	EXP 	New trial (rep=0, index=10): {'words': u'"words\\arg2clean\\11.png"'}
25.1248 	EXP 	text_image: autoDraw = False
25.1248 	EXP 	text_image: autoDraw = False
25.1248 	EXP 	text_image: image = u'words\\arg2clean\\11.png'
25.1248 	EXP 	text_image: autoDraw = True
26.0929 	EXP 	New trial (rep=0, index=11): {'words': u'"words\\arg2clean\\12.png"'}
26.1116 	EXP 	text_image: autoDraw = False
26.1116 	EXP 	text_image: autoDraw = False
26.1116 	EXP 	text_image: image = u'words\\arg2clean\\12.png'
26.1116 	EXP 	text_image: autoDraw = True
27.0797 	EXP 	New trial (rep=0, index=12): {'words': u'"words\\arg2clean\\13.png"'}
27.0987 	EXP 	text_image: autoDraw = False
27.0987 	EXP 	text_image: autoDraw = False
27.0987 	EXP 	text_image: image = u'words\\arg2clean\\13.png'
27.0987 	EXP 	text_image: autoDraw = True
28.0666 	EXP 	New trial (rep=0, index=13): {'words': u'"words\\arg2clean\\14.png"'}
28.0848 	EXP 	text_image: autoDraw = False
28.0848 	EXP 	text_image: autoDraw = False
28.0848 	EXP 	text_image: image = u'words\\arg2clean\\14.png'
28.0848 	EXP 	text_image: autoDraw = True
29.0552 	EXP 	New trial (rep=0, index=14): {'words': u'"words\\arg2clean\\15.png"'}
29.0721 	EXP 	text_image: autoDraw = False
29.0721 	EXP 	text_image: autoDraw = False
29.0721 	EXP 	text_image: image = u'words\\arg2clean\\15.png'
29.0721 	EXP 	text_image: autoDraw = True
30.0597 	EXP 	New trial (rep=0, index=15): {'words': u'"words\\arg2clean\\16.png"'}
30.0785 	EXP 	text_image: autoDraw = False
30.0785 	EXP 	text_image: image = u'words\\arg2clean\\16.png'
30.0785 	EXP 	text_image: autoDraw = True
31.0463 	EXP 	New trial (rep=0, index=16): {'words': u'"words\\arg2clean\\17.png"'}
31.0653 	EXP 	text_image: autoDraw = False
31.0653 	EXP 	text_image: autoDraw = False
31.0653 	EXP 	text_image: image = u'words\\arg2clean\\17.png'
31.0653 	EXP 	text_image: autoDraw = True
32.0340 	EXP 	New trial (rep=0, index=17): {'words': u'"words\\arg2clean\\18.png"'}
32.0520 	EXP 	text_image: autoDraw = False
32.0520 	EXP 	text_image: autoDraw = False
32.0520 	EXP 	text_image: image = u'words\\arg2clean\\18.png'
32.0520 	EXP 	text_image: autoDraw = True
33.0402 	EXP 	New trial (rep=0, index=18): {'words': u'"words\\arg2clean\\19.png"'}
33.0586 	EXP 	text_image: autoDraw = False
33.0586 	EXP 	text_image: image = u'words\\arg2clean\\19.png'
33.0586 	EXP 	text_image: autoDraw = True
34.0466 	EXP 	New trial (rep=0, index=19): {'words': u'"words\\arg2clean\\20.png"'}
34.0656 	EXP 	text_image: autoDraw = False
34.0656 	EXP 	text_image: image = u'words\\arg2clean\\20.png'
34.0656 	EXP 	text_image: autoDraw = True
