3.1621 	EXP 	Set Window color=[ 0.  0.  0.] (rgb)
4.1121 	EXP 	Created Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.1177 	EXP 	Created Text_Trial = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Text_Trial', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.1234 	EXP 	Created Reply_Text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=UNKNOWN, fontFiles=UNKNOWN, height=39, italic=False, name='Reply_Text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'cm', win=Window(...), wrapWidth=UNKNOWN)
4.1283 	EXP 	Imported Instructions.xlsx as conditions, 3 conditions, 1 params
4.1287 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
4.1295 	EXP 	New trial (rep=0, index=0): {u'text': u'You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.'}
4.1888 	EXP 	TextStim: autoLog = None
4.1888 	EXP 	TextStim: autoLog = None
4.1888 	EXP 	TextStim: autoLog = None
4.1888 	EXP 	Set Text text=You will read a number of arguments aloud. Your task is simply to rate how convincing you find each argument. Try to remain objective: avoid using your personal preferences, experience, or opinions when rating the arguments.
4.1888 	EXP 	TextStim: pos = None
4.1888 	EXP 	Set Text pos=[ 0.  0.]
4.1888 	EXP 	TextStim: autoDraw = None
4.6482 	DATA 	Keypress: return
4.6487 	EXP 	New trial (rep=0, index=1): {u'text': u'Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.'}
4.7286 	EXP 	TextStim: autoDraw = None
4.7286 	EXP 	Set Text text=Each argument will be presented word-by-word. Please read each word aloud as it appears on the screen. After all the words are presented, you will have five seconds to rate each argument. When you are ready for the next argument to appear, you will press the Enter key. Arguments will be rated on a 1-9 scale, and you will respond by pressing the corresponding key on the keyboard.
4.7286 	EXP 	TextStim: pos = None
4.7286 	EXP 	Set Text pos=[ 0.  0.]
4.7286 	EXP 	TextStim: autoDraw = None
4.8698 	DATA 	Keypress: return
4.8702 	EXP 	New trial (rep=0, index=2): {u'text': u'Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.'}
4.9099 	EXP 	TextStim: autoDraw = None
4.9099 	EXP 	Set Text text=Before the experiment begins you will have a practice round in order to familiarize yourself with the experiment. After that you will begin the experiment itself. It should take about 10 minutes to complete.
4.9099 	EXP 	TextStim: pos = None
4.9099 	EXP 	Set Text pos=[ 0.  0.]
4.9099 	EXP 	TextStim: autoDraw = None
5.2120 	DATA 	Keypress: return
5.2154 	EXP 	Imported sentences.xlsx as conditions, 2 conditions, 1 params
5.2158 	EXP 	Created sequence: sequential, trialTypes=2, nReps=1, seed=None
5.2164 	EXP 	New trial (rep=0, index=0): {u'which_text': u'sentence1.xlsx'}
5.2246 	EXP 	Imported sentence1.xlsx as conditions, 5 conditions, 1 params
5.2251 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
5.2256 	EXP 	New trial (rep=0, index=0): {u'text': u'This'}
5.2318 	EXP 	TextStim: autoDraw = None
5.2318 	EXP 	Set Text_Trial text=This
5.2318 	EXP 	TextStim: pos = None
5.2318 	EXP 	Set Text_Trial pos=[ 0.  0.]
5.2318 	EXP 	TextStim: autoDraw = None
6.7225 	EXP 	New trial (rep=0, index=1): {u'text': u'is'}
6.7420 	EXP 	TextStim: autoDraw = None
6.7420 	EXP 	Set Text_Trial text=is
6.7420 	EXP 	TextStim: pos = None
6.7420 	EXP 	Set Text_Trial pos=[ 0.  0.]
6.7420 	EXP 	TextStim: autoDraw = None
8.2127 	EXP 	New trial (rep=0, index=2): {u'text': u'the'}
8.2323 	EXP 	TextStim: autoDraw = None
8.2323 	EXP 	TextStim: autoDraw = None
8.2323 	EXP 	Set Text_Trial text=the
8.2323 	EXP 	TextStim: pos = None
8.2323 	EXP 	Set Text_Trial pos=[ 0.  0.]
8.2323 	EXP 	TextStim: autoDraw = None
9.7027 	EXP 	New trial (rep=0, index=3): {u'text': u'first'}
9.7221 	EXP 	TextStim: autoDraw = None
9.7221 	EXP 	TextStim: autoDraw = None
9.7221 	EXP 	Set Text_Trial text=first
9.7221 	EXP 	TextStim: pos = None
9.7221 	EXP 	Set Text_Trial pos=[ 0.  0.]
9.7221 	EXP 	TextStim: autoDraw = None
11.1931 	EXP 	New trial (rep=0, index=4): {u'text': u'sentence!'}
11.2121 	EXP 	TextStim: autoDraw = None
11.2121 	EXP 	TextStim: autoDraw = None
11.2121 	EXP 	Set Text_Trial text=sentence!
11.2121 	EXP 	TextStim: pos = None
11.2121 	EXP 	Set Text_Trial pos=[ 0.  0.]
11.2121 	EXP 	TextStim: autoDraw = None
12.7022 	EXP 	TextStim: autoDraw = None
12.7022 	EXP 	TextStim: autoDraw = None
12.7022 	EXP 	Set Reply_Text text=Please rate this argument on a scale from 1 to 7
12.7022 	EXP 	TextStim: pos = None
12.7022 	EXP 	Set Reply_Text pos=[ 0.  0.]
12.7022 	EXP 	TextStim: autoDraw = None
15.7630 	DATA 	Keypress: 5
15.7682 	EXP 	New trial (rep=0, index=1): {u'which_text': u'sentence2.xlsx'}
