text,argument,words,question,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,arguments_data.thisRepN,arguments_data.thisTrialN,arguments_data.thisN,arguments_data.thisIndex,word_data.thisRepN,word_data.thisTrialN,word_data.thisN,word_data.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,rating.keys,rating.rt,date,frameRate,expName,session,participant,
"Instructions 1!",,,,0,0,0,0,,,,,,,,,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
"Instructions 2!",,,,0,1,1,1,,,,,,,,,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
"Instructions 3!",,,,0,2,2,2,,,,,,,,,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv","words\messy_this.jpg",,,,,,0,0,0,1,0,0,0,0,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv","words\messy_is.jpg",,,,,,0,0,0,1,0,1,1,1,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv","words\messy_the.jpg",,,,,,0,0,0,1,0,2,2,2,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv","words\messy_messy.jpg",,,,,,0,0,0,1,0,3,3,3,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv","words\messy_argument.jpg",,,,,,0,0,0,1,0,4,4,4,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv",,"This argument was convincing.",,,,,0,0,0,1,,,,,0,0,0,0,1,3.90608468109,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv",,"This argument was unconvincing.",,,,,0,0,0,1,,,,,0,1,1,4,9,1.67124090939,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv",,"This argument might be wrong but it was well argued nonetheless.",,,,,0,0,0,1,,,,,0,2,2,3,7,1.73120300597,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv",,"There were logical flaws in this argument.",,,,,0,0,0,1,,,,,0,3,3,1,4,0.544050799777,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv",,"This was a well formed argument.",,,,,0,0,0,1,,,,,0,4,4,2,7,0.363145013423,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"messy_01.csv",,,,,,,0,0,0,1,,,,,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv","words\clear_this.jpg",,,,,,0,1,1,0,0,0,0,0,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv","words\clear_is.jpg",,,,,,0,1,1,0,0,1,1,1,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv","words\clear_the.jpg",,,,,,0,1,1,0,0,2,2,2,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv","words\clear_clear.jpg",,,,,,0,1,1,0,0,3,3,3,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv","words\clear_argument.jpg",,,,,,0,1,1,0,0,4,4,4,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv",,"This was a well formed argument.",,,,,0,1,1,0,,,,,0,0,0,2,6,2.01215424026,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv",,"This argument was unconvincing.",,,,,0,1,1,0,,,,,0,1,1,4,5,0.221621957022,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv",,"This argument was convincing.",,,,,0,1,1,0,,,,,0,2,2,0,6,0.181253015136,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv",,"This argument might be wrong but it was well argued nonetheless.",,,,,0,1,1,0,,,,,0,3,3,3,7,0.201238600006,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv",,"There were logical flaws in this argument.",,,,,0,1,1,0,,,,,0,4,4,1,9,0.160742272412,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
,"clear_01.csv",,,,,,,0,1,1,0,,,,,,,,,,,2014_Sep_15_0310,50.1217023084,Arguments,001,999,
