text,image,pos,argument,words,question,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,arguments_data.thisRepN,arguments_data.thisTrialN,arguments_data.thisN,arguments_data.thisIndex,word_data.thisRepN,word_data.thisTrialN,word_data.thisN,word_data.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,rating.keys,rating.rt,date,frameRate,expName,session,participant,
,,,"arg2clean.csv","words\arg2clean\28.png",,,,,,0,0,0,2,0,27,27,27,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\29.png",,,,,,0,0,0,2,0,28,28,28,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\30.png",,,,,,0,0,0,2,0,29,29,29,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\31.png",,,,,,0,0,0,2,0,30,30,30,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\32.png",,,,,,0,0,0,2,0,31,31,31,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\33.png",,,,,,0,0,0,2,0,32,32,32,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\34.png",,,,,,0,0,0,2,0,33,33,33,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\35.png",,,,,,0,0,0,2,0,34,34,34,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\36.png",,,,,,0,0,0,2,0,35,35,35,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\37.png",,,,,,0,0,0,2,0,36,36,36,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\38.png",,,,,,0,0,0,2,0,37,37,37,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\39.png",,,,,,0,0,0,2,0,38,38,38,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\40.png",,,,,,0,0,0,2,0,39,39,39,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\41.png",,,,,,0,0,0,2,0,40,40,40,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\42.png",,,,,,0,0,0,2,0,41,41,41,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\43.png",,,,,,0,0,0,2,0,42,42,42,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\44.png",,,,,,0,0,0,2,0,43,43,43,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
,,,"arg2clean.csv","words\arg2clean\45.png",,,,,,0,0,0,2,0,44,44,44,,,,,,,2014_Oct_02_0139,49.6505030267,Arguments,001,999,
