0.7297 	WARNING 	Movie2 stim could not be imported and won't be available
5.1237 	EXP 	intro_text: autoDraw = True
5.1237 	EXP 	text_2: autoDraw = True
5.9343 	DATA 	Keypress: space
5.9355 	EXP 	New trial (rep=0, index=2): {u'text': u"If the phrase can be a property of the underlined word, press the green key. And if the phrase can't be a property of the underlined word, press the red key. Please respond as quickly as possible,but avoid making errors."}
6.0057 	EXP 	intro_text: autoDraw = False
6.0057 	EXP 	text_2: autoDraw = False
6.0057 	EXP 	intro_text: text = u"If the phrase can be a property of the underlined word, press the green key. And if the phrase can't be a property of the underlined word, press the red key. Please respond as quickly as possible,but avoid making errors."
6.0057 	EXP 	intro_text: autoDraw = True
6.0057 	EXP 	text_2: autoDraw = True
6.2364 	DATA 	Keypress: space
6.2374 	EXP 	New trial (rep=0, index=3): {u'text': u"After this slide you'll begin a practice session. If you make any mistakes an experimenter will be standing by to correct you. Just remember to read all the sentences (but not the phrases) out loud. In order to move between trials in the experiment, press the space bar. When you're ready to begin, please turn around and tell the experimenter."}
6.3082 	EXP 	intro_text: autoDraw = False
6.3082 	EXP 	text_2: autoDraw = False
6.3082 	EXP 	intro_text: text = u"After this slide you'll begin a practice session. If you make any mistakes an experimenter will be standing by to correct you. Just remember to read all the sentences (but not the phrases) out loud. In order to move between trials in the experiment, press the space bar. When you're ready to begin, please turn around and tell the experimenter."
6.3082 	EXP 	intro_text: autoDraw = True
6.3082 	EXP 	text_2: autoDraw = True
6.5367 	DATA 	Keypress: space
6.5407 	EXP 	Imported stim-prac.xlsx as conditions, 4 conditions, 3 params
6.5412 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
6.5425 	EXP 	New trial (rep=0, index=0): {u'property': u'can be tied in a knot', u'response': u'f', u'sentence': u'The *refrigerator* was set to a low temperature to cool the beer.'}
6.5572 	EXP 	intro_text: autoDraw = False
6.5572 	EXP 	text_2: autoDraw = False
6.8194 	DATA 	Keypress: space
6.8465 	EXP 	sentence_stim: text = u'The *refrigerator* was set to a low temperature to cool the beer.'
6.8465 	EXP 	property_stim: text = u'can be tied in a knot'
7.3423 	EXP 	sentence_stim: autoDraw = True
13.3433 	EXP 	sentence_stim: autoDraw = False
13.3433 	EXP 	property_stim: autoDraw = True
16.6055 	DATA 	Keypress: j
16.6080 	EXP 	New trial (rep=0, index=1): {u'property': u'has gills', u'response': u'f', u'sentence': u'The *cheese* was growing moldy in the refrigerator.'}
16.6250 	EXP 	sentence_stim: autoDraw = False
16.6250 	EXP 	property_stim: autoDraw = False
16.6466 	DATA 	Keypress: f
18.8812 	DATA 	Keypress: space
18.9024 	EXP 	sentence_stim: text = u'The *cheese* was growing moldy in the refrigerator.'
18.9024 	EXP 	property_stim: text = u'has gills'
19.4043 	EXP 	sentence_stim: autoDraw = True
19.4250 	DATA 	Keypress: escape
