text,instr_data.thisRepN,instr_data.thisTrialN,instr_data.thisN,instr_data.thisIndex,date,frameRate,expName,session,participant,
"We are piloting a new method for group-grading exam questions. In this first section you will be reading aloud several arguments taken from LAW 204, Written and Oral Advocacy, taught at the UC Berkeley Law School.",0,0,0,0,2014_Sep_15_0328,49.701186798,Arguments,001,999,
"You will read through student responses taken from the essay portion of the midterm exam. In order to give an objective analysis, you will be asked to read the essay responses aloud. In addition, sentences from each essay response will be presented phrase-by-phrase, not all at once.",0,1,1,1,2014_Sep_15_0328,49.701186798,Arguments,001,999,
